facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
Refinery Building,Park,Domino Park,Operational,,40.714424,-73.967306,"{'type': 'Point', 'coordinates': [-73.967306, 40.714424]}",2,56,38,36,,,Year Round,6am-11pm,,
Maspeth Park,Park,NYC Parks,Operational,Yes,40.730900,-73.925400,"{'type': 'Point', 'coordinates': [-73.9254, 40.7309]}",3,66,34,53,,,Year Round,"8am-4pm, Open later seasonally",,
"Fort Hamilton Library, BPL",Library,BPL,Operational,Yes,40.616381,-74.031371,"{'type': 'Point', 'coordinates': [-74.031371, 40.616381]}",2,41,44,10,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/fort-hamilton'},
Rienzi Playground,Park,NYC Parks,Operational,No,40.887640,-73.858800,"{'type': 'Point', 'coordinates': [-73.8588, 40.88764]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Lopez Playground,Park,NYC Parks,Operational,,40.611270,-74.085000,"{'type': 'Point', 'coordinates': [-74.085, 40.61127]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Operational,No,40.740474,-73.993358,"{'type': 'Point', 'coordinates': [-73.993358, 40.740474]}",4,7,10,11,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/heiskell'},Changing Table in Children's room
Old Town Playground,Park,NYC Parks,Operational,Yes,40.595490,-74.081500,"{'type': 'Point', 'coordinates': [-74.0815, 40.59549]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
575 Fifth Avenue POPS,Privately Owned Public Space,575 Fifth Associates,Operational,Yes,40.756276,-73.978243,"{'type': 'Point', 'coordinates': [-73.978243, 40.756276]}",4,10,51,11,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Everyday 7:00 am-12:00 am,,
Fort Greene Park Zone 3,Park,NYC Parks,Operational,Yes,40.692230,-73.974700,"{'type': 'Point', 'coordinates': [-73.9747, 40.69223]}",2,55,48,68,,,Year Round,"8am-4pm, Open later seasonally",,
Starlight Park Zone 1,Park,NYC Parks,Operational,,40.833733,-73.882888,"{'type': 'Point', 'coordinates': [-73.882888, 40.833733]}",5,26,43,58,,,Year Round,"8am-4pm, Open later seasonally",,
Clove Lakes Rink,Park,NYC Parks Concessionaire,Operational,No,40.615832,-74.107900,"{'type': 'Point', 'coordinates': [-74.1079, 40.615832]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"Friday 4:00-10:00pm, Saturday 12:00pm-10:00pm, Sunday 12:00pm-6:00pm",,
Mosholu Playground,Park,NYC Parks,Operational,Yes,40.872660,-73.882900,"{'type': 'Point', 'coordinates': [-73.8829, 40.87266]}",5,34,40,24,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
General Hart Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.748790,-73.897200,"{'type': 'Point', 'coordinates': [-73.8972, 40.74879]}",3,66,33,53,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Gertrude Ederle Recreation Center,Park,NYC Parks,Operational,Yes,40.771470,-73.988700,"{'type': 'Point', 'coordinates': [-73.9887, 40.77147]}",4,12,19,20,,,Year Round,"8am-4pm, Open later seasonally",,
"Great Kills Library, NYPL",Library,NYPL,Operational,Yes,40.552432,-74.151113,"{'type': 'Point', 'coordinates': [-74.151113, 40.552432]}",1,76,9,15,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm",{'url': 'https://www.nypl.org/locations/great-kills'},
"Sunset Park Library, BPL",Library,BPL,Operational,Yes,40.645920,-74.013631,"{'type': 'Point', 'coordinates': [-74.013631, 40.64592]}",2,45,7,9,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/sunset-park'},
